MaxAbsEStateIndex,FpDensityMorgan1,BCUT2D_MWLOW,BCUT2D_CHGLO,AvgIpc,Kappa2,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA7,SMR_VSA10,SMR_VSA3,SMR_VSA7,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA5,SlogP_VSA8,EState_VSA6,NHOHCount,NumAliphaticHeterocycles,NumAromaticRings,MolLogP,fr_Al_COO,fr_Ar_COO,fr_COO,fr_C_O_noCOO,fr_NH1,fr_allylic_oxid,fr_aniline,fr_bicyclic,fr_ester,fr_ketone,fr_nitro,fr_para_hydroxylation
12.246748967722993,1.0740740740740742,10.047021193640752,-2.104099424476179,2.647368570699992,10.116759434980988,5.749511833283905,0.0,0.0,61.58822636408135,18.014630682737582,0.0,82.94643576652092,0.0,17.045137970744406,22.43071761399566,36.958650497398246,6.076020106833881,12.13273413692322,1,0,2,4.831300000000004,1,0,1,1,0,2,0,0,1,0,0,0
10.393818333692522,1.3529411764705883,10.051243776141234,-2.031842534691348,2.255564998942856,5.89278001378633,5.749511833283905,0.0,0.0,49.60395324945835,12.045325394785731,0.0,47.05114893251585,0.0,16.182360077633263,11.21535880699783,24.974377382775238,6.076020106833881,18.19910120538483,2,0,1,2.9987000000000013,1,0,1,0,0,2,0,0,0,0,0,0
12.357860078834104,1.0740740740740742,10.031216897331383,-2.115214876776851,2.647368570699992,10.116759434980988,0.0,0.0,0.0,61.58822636408135,23.639891398820797,0.0,82.94643576652092,5.687386274683562,16.98301241214406,22.43071761399566,36.958650497398246,6.076020106833881,12.142387175295491,2,0,2,4.864400000000004,1,0,1,1,1,2,1,0,0,0,0,0
12.303763752414547,1.0740740740740742,10.05414700403139,-2.1049696922376286,2.643594524849485,10.116759434980988,5.749511833283905,0.0,0.0,55.52185929561975,18.014630682737582,0.0,82.94643576652092,0.0,17.045137970744406,22.43071761399566,36.958650497398246,6.076020106833881,6.06636706846161,1,0,2,4.831300000000004,1,0,1,1,0,2,0,0,1,0,0,0
12.414874863525657,1.0740740740740742,10.036204709590196,-2.116359761445236,2.643594524849485,10.116759434980988,0.0,0.0,0.0,55.52185929561975,23.639891398820797,0.0,82.94643576652092,5.687386274683562,16.98301241214406,22.43071761399566,36.958650497398246,6.076020106833881,0.0,2,0,2,4.864400000000004,1,0,1,1,1,2,1,0,0,0,0,0
10.971967435122197,0.9375,10.146527448683473,-2.082442778109756,2.3061245648141315,4.486277072858324,0.0,0.0,0.0,24.26546827384644,17.344077837318974,0.0,60.160755107851486,11.374772549367124,11.075832682792555,0.0,10.357988675768818,0.0,24.26546827384644,2,0,2,3.128400000000001,0,1,1,0,1,0,2,0,0,0,0,2
10.777809586797682,0.9375,10.168472401704488,-2.059457056967807,2.3049761718275654,4.486277072858324,0.0,0.0,0.0,30.33183534230805,17.344077837318974,0.0,60.160755107851486,11.374772549367124,11.075832682792555,0.0,10.357988675768818,0.0,18.19910120538483,2,0,2,3.128400000000001,0,1,1,0,1,0,2,0,0,0,0,1
10.65013435738544,0.875,10.174599767326937,-2.0539335645209964,2.308854015216125,4.486277072858324,0.0,0.0,0.0,36.39820241076966,17.344077837318974,0.0,60.160755107851486,11.374772549367124,11.075832682792555,0.0,10.357988675768818,0.0,24.26546827384644,2,0,2,3.128400000000001,0,1,1,0,1,0,2,0,0,0,0,1
10.805018034915221,1.0588235294117647,10.168203761757193,-2.0651682529728665,2.3242118686378794,4.8884297520661155,0.0,0.0,0.0,42.46456947923127,28.945017727551487,0.0,59.1170213531312,11.374772549367124,11.075832682792555,0.0,10.357988675768818,0.0,36.39820241076966,2,0,2,3.7818000000000014,0,1,1,0,1,0,2,0,0,0,0,0
10.816266887073164,1.0588235294117647,10.168378314642085,-2.065770006943039,2.3242118686378794,5.013688895992475,0.0,0.0,0.0,42.46456947923127,33.27402173526832,0.0,58.567107555222286,11.374772549367124,11.075832682792555,0.0,10.357988675768818,0.0,18.19910120538483,2,0,2,3.890900000000002,0,1,1,0,1,0,2,0,0,0,0,0
10.932830247954707,1.0,9.869587059295796,-2.1897087647229645,2.38347085164274,5.371007618603829,0.0,0.0,0.0,41.310277303401826,17.344077837318974,0.0,59.65783953108687,11.374772549367124,11.075832682792555,5.41499046939678,36.692651766537686,0.0,18.19910120538483,2,0,2,4.425900000000003,0,1,1,0,1,0,2,0,0,0,0,0
