MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,BCUT2D_MWHI,HallKierAlpha,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA8,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState9,NHOHCount,NumAmideBonds,fr_NH1,fr_alkyl_halide,fr_aryl_methyl,fr_ketone,fr_para_hydroxylation
13.434412363301877,-0.7112293813556441,10.521739130434783,311.312,19.142251139157835,-3.079999999999999,14.41048999643211,5.749511833283905,17.349977620694737,0.0,0.0,4.794537184071822,4.39041504767482,0.0,0.0,12.13273413692322,35.27434346976532,19.028342580387395,0.0,4.567099647791355,0.0,0.0,7.109797541277533,77.86874751535893,17.186409941251373,4.736862953800049,22.56666953027453,0.0,5.817220841045895,15.921440167465814,0.0,5.687386274683562,51.46,5.783244946364939,22.56380109136146,0.0,12.13273413692322,60.4687867430647,0.0,0.0,4.736862953800049,12.497189835810866,9.231864393456204,1.5099214222726136,-0.6636597911945483,3.28458026266062,1.5411009472822659,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13.445292195766374,-1.067841728151557,10.625,329.30199999999996,19.145644537506467,-3.149999999999999,14.41048999643211,5.749511833283905,23.167198461740632,0.0,0.0,4.794537184071822,8.78083009534964,0.0,0.0,0.0,35.65332426354337,23.418757628062217,0.0,4.567099647791355,0.0,0.0,7.109797541277533,77.61960128794321,17.186409941251373,4.736862953800049,22.56666953027453,0.0,11.63444168209179,15.921440167465814,0.0,5.687386274683562,51.46,11.470631221048501,16.876414816677897,12.13273413692322,24.07058433229504,30.33183534230805,0.0,0.0,9.843390348640755,12.436268948937599,9.138890819411202,1.0020891783914883,-2.7507501932768315,2.985956396447468,1.5345803575286592,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13.581620963812522,-1.0986302513557205,10.625,329.30199999999996,19.145644601177008,-3.149999999999999,14.41048999643211,5.749511833283905,17.383953515375694,5.783244946364939,0.0,4.794537184071822,8.78083009534964,0.0,0.0,12.13273413692322,23.89302920023329,23.418757628062217,0.0,4.567099647791355,0.0,0.0,7.109797541277533,77.61960128794321,17.186409941251373,4.736862953800049,22.56666953027453,0.0,11.63444168209179,16.051916670617278,0.0,5.687386274683562,51.46,17.16455921589696,11.3129633249809,12.13273413692322,17.873740760681965,36.39820241076966,0.0,0.0,4.736862953800049,12.693230977576217,9.202347416017565,0.709084440875116,-3.044438138253975,1.5125659013605444,1.4943292450304881,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10.471361384059797,-0.7602206685143187,10.733333333333333,203.24099999999999,16.365238087828644,-1.7699999999999996,9.67362704263206,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,11.629818560158606,18.258300695141912,9.901064578912528,0.0,4.567099647791355,0.0,19.88931522852921,0.0,36.02576333715651,0.0,0.0,15.642932330583909,11.339293589984397,6.923737199690624,11.984273114623004,0.0,10.902924932081056,42.230000000000004,6.4208216229260096,6.544756405912575,5.516700717616262,10.949675706161791,0.0,35.88678162447989,6.06636706846161,5.106527394840706,10.471361384059797,9.782178970353574,2.3197542412026544,-0.7602206685143187,2.101887991307634,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
11.651115835222978,-0.2208862433862433,10.588235294117647,226.235,16.254697450592253,-2.4899999999999998,5.106527394840706,11.443439828132366,0.0,5.783244946364939,0.0,9.77851570501903,4.9839785209472085,0.0,0.0,18.208754243757102,12.393687143226153,9.901064578912528,0.0,9.967957041894417,0.0,0.0,0.0,60.189398582065,5.749511833283905,0.0,20.85772938310006,0.0,0.0,16.051916670617278,0.0,6.076020106833881,63.08,11.532756779648844,5.693927994848461,5.563451491696996,24.66655082167311,30.34148838068032,0.0,9.967957041894417,0.0,19.364577716889226,9.25416297847575,1.0473549697656845,-0.05505128285882188,7.41250515791461,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10.540355725623582,-0.7560221140925505,10.8125,217.26799999999994,16.365239518269323,-1.77,9.67362704263206,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,19.056471336613843,23.64452490960671,9.901064578912528,0.0,4.567099647791355,0.0,26.31013685145522,0.0,36.02576333715651,0.0,0.0,15.642932330583909,17.760115212910407,0.0,18.90801031431363,0.0,10.902924932081056,42.230000000000004,6.4208216229260096,6.544756405912575,11.937522340542271,10.949675706161791,0.0,22.896677356327654,19.056471336613843,5.106527394840706,10.540355725623582,9.903642447719829,2.4371990740740745,-0.7560221140925505,3.132126165280927,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
10.560672678825636,-0.7586568825060882,11.235294117647058,231.29499999999993,16.365240855904474,-1.7699999999999996,9.67362704263206,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,19.913841467842857,18.258300695141912,9.901064578912528,0.0,4.567099647791355,0.0,32.730958474381225,0.0,36.02576333715651,0.0,0.0,15.642932330583909,11.339293589984397,0.0,31.749653560165644,0.0,10.902924932081056,42.230000000000004,6.4208216229260096,12.462662452073968,5.516700717616262,10.949675706161791,0.0,16.83031028786604,32.046575604766076,5.106527394840706,10.560672678825636,9.869961339499579,2.420494981943395,-0.24312948790627287,2.1184774974804736,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10.64344214537667,-0.7603463167674473,11.944444444444445,245.32199999999995,16.365242707768484,-1.77,9.67362704263206,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,32.903945735995094,23.64452490960671,9.901064578912528,0.0,4.567099647791355,0.0,39.15178009730724,0.0,36.02576333715651,0.0,0.0,15.642932330583909,16.754284059381177,0.0,32.75548471369488,0.0,10.902924932081056,42.230000000000004,11.83581209232279,6.544756405912575,5.516700717616262,10.949675706161791,0.0,22.896677356327654,32.903945735995094,5.106527394840706,10.64344214537667,9.972839978584025,2.5103088388133035,-0.7603463167674473,2.1313215702947845,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
13.280819910175069,-5.176106216406316,11.538461538461538,367.25800000000004,19.413328042613205,-3.4299999999999984,9.774352672568645,5.817220841045895,5.783244946364939,0.0,5.783244946364939,9.589074368143644,4.39041504767482,13.171245143024459,9.943792737561093,12.13273413692322,17.323746555007066,32.357987583620215,0.0,14.510892385352449,0.0,6.176298517443475,0.0,71.56041787643564,5.687386274683562,0.0,37.46093382030309,0.0,5.817220841045895,26.409905346386093,0.0,5.687386274683562,77.12,16.814289258077554,4.845110929260056,41.35673156801541,12.13273413692322,0.0,0.0,5.098681808301038,0.0,24.455525079611476,12.60856448046135,-1.2606054736709487,-3.638168744234761,-2.2352170335726886,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0
10.705664962776254,-0.7721629946999709,10.8,265.312,16.3652444960742,-2.549999999999999,9.67362704263206,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,42.46456947923127,18.258300695141912,9.901064578912528,0.0,4.567099647791355,0.0,12.965578028838586,0.0,60.794147187767564,11.126902983393991,0.0,15.64293233058391,11.339293589984397,0.0,6.4208216229260096,0.0,22.029827915475046,42.23,6.4208216229260096,6.544756405912575,16.46637642377805,5.563451491696996,0.0,35.02941149325087,30.33183534230805,5.106527394840706,10.705664962776254,9.937960835594314,3.3901505941882935,-0.7721629946999709,2.085044249181154,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
