FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_LOGPLOW,AvgIpc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA12,PEOE_VSA2,PEOE_VSA7,SMR_VSA3,SMR_VSA7,SlogP_VSA10,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,EState_VSA6,VSA_EState9,NHOHCount,NumAliphaticHeterocycles,NumAromaticRings,NumHeteroatoms,RingCount,MolLogP,fr_Al_COO,fr_Ar_COO,fr_COO,fr_NH1,fr_allylic_oxid,fr_aniline,fr_bicyclic,fr_para_hydroxylation
1.0740740740740742,16.53602215666837,10.047021193640752,-2.1015740485012957,2.647368570699992,9.843390348640755,5.749511833283905,0.0,4.794537184071822,61.58822636408135,0.0,82.94643576652092,0.0,17.045137970744406,22.43071761399566,0.0,36.958650497398246,0.0,6.076020106833881,12.13273413692322,0.0,1,0,2,4,2,4.831300000000004,1,0,1,0,2,0,0,0
1.3529411764705883,16.36458475584918,10.051243776141234,-1.8765266616133942,2.255564998942856,10.213054789681411,5.749511833283905,0.0,0.0,49.60395324945835,0.0,47.05114893251585,0.0,16.182360077633263,11.21535880699783,0.0,24.974377382775238,0.0,6.076020106833881,18.19910120538483,0.0,2,0,1,3,1,2.9987000000000013,1,0,1,0,2,0,0,0
1.0740740740740742,16.36457474118576,10.031216897331383,-2.1345144379529613,2.647368570699992,10.423315998847038,0.0,5.907179729351506,4.794537184071822,61.58822636408135,0.0,82.94643576652092,5.687386274683562,16.98301241214406,22.43071761399566,0.0,36.958650497398246,0.0,6.076020106833881,12.142387175295491,0.0,2,0,2,4,2,4.864400000000004,1,0,1,1,2,1,0,0
1.0740740740740742,16.536042121890823,10.05414700403139,-2.1024933285556178,2.643594524849485,9.843390348640755,5.749511833283905,0.0,4.794537184071822,55.52185929561975,0.0,82.94643576652092,0.0,17.045137970744406,22.43071761399566,0.0,36.958650497398246,0.0,6.076020106833881,6.06636706846161,0.0,1,0,2,4,2,4.831300000000004,1,0,1,0,2,0,0,0
1.0740740740740742,16.364575006595285,10.036204709590196,-2.135514475653554,2.643594524849485,10.423315998847038,0.0,5.907179729351506,4.794537184071822,55.52185929561975,0.0,82.94643576652092,5.687386274683562,16.98301241214406,22.43071761399566,0.0,36.958650497398246,0.0,6.076020106833881,0.0,0.0,2,0,2,4,2,4.864400000000004,1,0,1,1,2,1,0,0
0.9375,16.365684552141115,10.146527448683473,-2.0148748396300684,2.3061245648141315,10.423315998847038,0.0,0.0,0.0,24.26546827384644,0.0,60.160755107851486,11.374772549367124,11.075832682792555,0.0,0.0,10.357988675768818,0.0,0.0,24.26546827384644,0.0,2,0,2,3,2,3.128400000000001,0,1,1,1,0,2,0,2
0.9375,16.36555244318836,10.168472401704488,-1.9712289111726946,2.3049761718275654,10.423315998847038,0.0,0.0,0.0,30.33183534230805,0.0,60.160755107851486,11.374772549367124,11.075832682792555,0.0,0.0,10.357988675768818,0.0,0.0,18.19910120538483,0.0,2,0,2,3,2,3.128400000000001,0,1,1,1,0,2,0,1
0.875,16.365543365204964,10.174599767326937,-1.9594538403188229,2.308854015216125,10.423315998847038,0.0,0.0,0.0,36.39820241076966,0.0,60.160755107851486,11.374772549367124,11.075832682792555,0.0,0.0,10.357988675768818,0.0,0.0,24.26546827384644,0.0,2,0,2,3,2,3.128400000000001,0,1,1,1,0,2,0,1
1.0588235294117647,35.49569118962127,10.168203761757193,-1.9718789057927602,2.3242118686378794,10.423315998847038,0.0,0.0,0.0,42.46456947923127,0.0,59.1170213531312,11.374772549367124,11.075832682792555,0.0,0.0,10.357988675768818,5.022633313741326,0.0,36.39820241076966,0.0,2,0,2,4,2,3.7818000000000014,0,1,1,1,0,2,0,0
1.0588235294117647,79.91873107588678,10.168378314642085,-1.971955933628827,2.3242118686378794,10.423315998847038,0.0,0.0,0.0,42.46456947923127,0.0,58.567107555222286,11.374772549367124,11.075832682792555,0.0,0.0,10.357988675768818,0.0,0.0,18.19910120538483,0.0,2,0,2,4,2,3.890900000000002,0,1,1,1,0,2,0,0
