MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,BCUT2D_MWHI,HallKierAlpha,Ipc,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,TPSA,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState7,VSA_EState8,VSA_EState9,NHOHCount,NumAmideBonds,MolLogP,fr_Al_COO,fr_Ar_OH,fr_C_O,fr_NH1,fr_aniline,fr_aryl_methyl,fr_bicyclic,fr_ketone,fr_para_hydroxylation
13.434412363301877,-0.7112293813556441,10.521739130434783,311.312,19.142251139157835,-3.079999999999999,252932.6117263777,14.41048999643211,5.749511833283905,17.349977620694737,0.0,0.0,0.0,4.794537184071822,4.39041504767482,0.0,0.0,12.13273413692322,30.33183534230805,35.27434346976532,7.109797541277533,19.028342580387395,0.0,4.567099647791355,0.0,0.0,7.109797541277533,77.86874751535893,17.186409941251373,4.736862953800049,22.56666953027453,0.0,5.817220841045895,15.921440167465814,0.0,51.46,5.783244946364939,22.56380109136146,0.0,12.13273413692322,60.4687867430647,0.0,0.0,4.736862953800049,9.231864393456204,1.5099214222726136,-0.6636597911945483,3.28458026266062,0.0,1.5411009472822659,1.0,0.0,3.561600000000002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13.445292195766374,-1.067841728151557,10.625,329.30199999999996,19.145644537506467,-3.149999999999999,373576.45833697176,14.41048999643211,5.749511833283905,23.167198461740632,0.0,0.0,0.0,4.794537184071822,8.78083009534964,0.0,0.0,0.0,30.33183534230805,35.65332426354337,12.797183815961095,23.418757628062217,0.0,4.567099647791355,0.0,0.0,7.109797541277533,77.61960128794321,17.186409941251373,4.736862953800049,22.56666953027453,0.0,11.63444168209179,15.921440167465814,0.0,51.46,11.470631221048501,16.876414816677897,12.13273413692322,24.07058433229504,30.33183534230805,0.0,0.0,9.843390348640755,9.138890819411202,1.0020891783914883,-2.7507501932768315,2.985956396447468,0.0,1.5345803575286592,1.0,0.0,3.7007000000000025,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13.581620963812522,-1.0986302513557205,10.625,329.30199999999996,19.145644601177008,-3.149999999999999,373659.1334094358,14.41048999643211,5.749511833283905,17.383953515375694,5.783244946364939,0.0,0.0,4.794537184071822,8.78083009534964,0.0,0.0,12.13273413692322,24.26546827384644,23.89302920023329,18.491111810809556,23.418757628062217,0.0,4.567099647791355,0.0,0.0,7.109797541277533,77.61960128794321,17.186409941251373,4.736862953800049,22.56666953027453,0.0,11.63444168209179,16.051916670617278,0.0,51.46,17.16455921589696,11.3129633249809,12.13273413692322,17.873740760681965,36.39820241076966,0.0,0.0,4.736862953800049,9.202347416017565,0.709084440875116,-3.044438138253975,1.5125659013605444,0.0,1.4943292450304881,1.0,0.0,3.7007000000000025,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13.280819910175069,-5.176106216406316,11.538461538461538,367.25800000000004,19.413328042613205,-3.4299999999999984,694507.8910950669,9.774352672568645,5.817220841045895,5.783244946364939,0.0,5.783244946364939,6.176298517443475,9.589074368143644,4.39041504767482,13.171245143024459,9.943792737561093,12.13273413692322,18.19910120538483,17.323746555007066,23.775001412758176,32.357987583620215,0.0,14.510892385352449,0.0,6.176298517443475,0.0,71.56041787643564,5.687386274683562,0.0,37.46093382030309,0.0,5.817220841045895,26.409905346386093,0.0,77.12,16.814289258077554,4.845110929260056,41.35673156801541,12.13273413692322,0.0,0.0,5.098681808301038,0.0,12.60856448046135,-1.2606054736709487,-3.638168744234761,-2.2352170335726886,0.0,0.0,1.0,0.0,3.026200000000002,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
11.775760896951372,-1.0706994572520367,12.631578947368421,256.261,16.3670369838098,-2.4299999999999993,26959.289840152815,5.106527394840706,6.544756405912575,0.0,0.0,5.559266895052007,5.969305287951849,9.589074368143644,4.681802935145185,5.098681808301038,0.0,24.26546827384644,23.96854622924601,11.629818560158606,5.693927994848461,9.901064578912528,0.0,9.780484743446223,0.0,19.386399651764595,0.0,51.81254240482587,11.257379486545457,5.559266895052007,20.85631742623878,24.180936835836416,0.0,11.126902983393991,0.0,72.19,5.559266895052007,0.0,34.34427715923966,11.629818560158606,0.0,24.26546827384644,5.098681808301038,5.106527394840706,13.008610717435122,3.4300765306122463,-1.0706994572520367,1.648546941924918,-0.4084521447467875,0.0,1.0,0.0,1.0935,1.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
12.131238898770917,-0.4309894728220842,11.36,351.4310000000001,32.09204710609181,-2.9899999999999993,494376.5180169711,9.733939541059678,5.583020141642242,5.112436884724758,0.0,0.0,5.625586319077987,5.425791397110385,4.794537184071822,5.101407525739723,0.0,36.39820241076966,49.82790053950977,11.073610489148358,11.275136494467699,4.417150937053347,0.0,5.425791397110385,5.101407525739723,13.847474399381248,5.316788604006331,76.1443301026983,0.0,16.368166320194703,10.82412188749546,0.0,6.923737199690624,18.050640183084614,0.0,66.63,0.0,21.970593520834697,16.637061980845353,0.0,19.056471336613843,49.38830667892189,15.843987526856438,16.63502438010004,8.449880770400702,5.738524350914254,0.0,0.0,3.712462263499421,0.0,2.0,0.0,3.812020000000002,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0
11.91396589191232,-1.092235082304527,17.555555555555557,280.33000000000004,32.181197831668065,-1.7300000000000002,13235.068239101864,5.106527394840706,10.865290491471546,0.0,0.0,5.907179729351506,5.969305287951849,19.472962619941327,0.0,0.0,0.0,30.046125460899418,18.208754243757102,6.196843571613076,10.599064508738508,14.69560176298435,0.0,9.883888251797686,0.0,0.0,6.544756405912575,34.995009285736415,0.0,0.0,37.7321911554133,9.589074368143644,0.0,5.693927994848461,0.0,70.5,4.320534085558971,10.599064508738508,16.66179468024159,0.0,30.471964883831788,0.0,4.9839785209472085,17.324400837887403,8.690855627757685,0.6327083333333334,-1.482926692281851,3.2132707913412277,-0.41247527714789634,0.0,1.0,1.0,1.3674000000000002,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11.545714600655076,-1.1997397014361295,12.666666666666666,242.23400000000004,16.36634840341717,-2.4299999999999997,17432.989007470936,5.106527394840706,5.563451491696996,0.0,0.0,5.559266895052008,5.969305287951849,4.794537184071822,9.893218992372859,5.098681808301038,0.0,24.26546827384644,18.405094737549014,11.126902983393991,5.693927994848461,9.901064578912528,0.0,10.197363616602075,0.0,12.841643245852019,0.0,51.309626828061255,11.257379486545457,5.559266895052008,21.27319629939463,12.841643245852019,0.0,21.48489165916281,0.0,83.04999999999998,5.563451491696996,17.678201109471466,17.54772460632,0.0,0.0,24.26546827384644,10.197363616602075,5.106527394840706,15.388080750818844,2.3123351284958433,-1.1997397014361295,1.2633796296296294,0.0,0.0,2.0,0.0,1.2337,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0
10.971029344864261,-0.7875393739301011,14.666666666666666,320.39200000000005,16.365179879662676,-2.589999999999999,518359.27448680205,10.090505915787915,0.0,0.0,0.0,0.0,5.969305287951849,9.694446914922299,0.0,0.0,0.0,36.39820241076966,28.823088612014207,42.65194376759325,6.4208216229260096,9.901064578912528,0.0,9.883888251797686,0.0,25.93115605767717,6.544756405912575,70.91521901763234,0.0,0.0,27.504477340502817,30.725693241748992,0.0,22.384282469939446,0.0,56.33,6.4208216229260096,0.0,37.13524304997699,22.207055192707248,0.0,24.26546827384644,34.14935652564412,5.106527394840706,10.186234427901024,5.90393222795189,-0.7875393739301011,1.0781088889999424,2.8881166803141007,0.0,2.0,0.0,3.3533000000000026,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
12.94361856403218,-1.1969373188005943,10.75,348.7170000000001,35.4956915984081,-2.93,251220.65350854353,9.843390348640755,18.111489080242375,0.0,0.0,5.879988336435371,11.528572183003856,14.156174015934997,9.374393568622029,0.0,0.0,11.600939890232516,42.46456947923127,5.022633313741326,11.033401435232523,19.028342580387395,0.0,9.551078168738563,0.0,6.544756405912575,0.0,63.65822771314231,11.629500169719275,10.296129848852058,20.626910851531118,11.339293589984397,5.817220841045895,0.0,5.022633313741326,81.42,17.14620088733554,10.539334031357587,4.567099647791355,30.33183534230805,12.13273413692322,0.0,4.9839785209472085,21.44433023887327,9.378318551071077,-0.10165790081464587,-1.7519189487004534,0.0,-0.5714549739648946,0.0,1.0,0.0,3.065900000000001,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
